"ID"  "date_added"  "date_ended"  "site"  "value"  "discount"  "sold"  "MerchantID"  "category"
"1"  21751  2010-12-01  2010-12-02  "OpenTable"  50  50  2487  7386  "Restaurants"
"2"  109568  2011-06-08  2011-06-09  "OpenTable"  50  50  1562  62051  "Restaurants"
"3"  70912  2011-04-14  2011-04-15  "Yelp"  100  40  571  42767  "Outdoor Adventures"
"4"  9431  2010-09-08  2010-09-09  "OpenTable"  50  50  1319  9172  "Restaurants"
"5"  3404341  2012-01-24  2012-01-31  "Newspaper Deals"  65  50  1000  260547  "Home Services"
"6"  89535  2011-05-12  2011-05-13  "Yelp"  50  50  1171  51759  "Restaurants"
"7"  54673  2011-03-16  2011-03-17  "OpenTable"  50  50  947  30000  "Restaurants"
"8"  117173  2011-06-15  2011-06-16  "OpenTable"  176  50  195  12271  "Restaurants"
"9"  20050  2010-11-23  2010-11-24  "OpenTable"  50  50  683  15424  "Restaurants"
"10"  105569  2011-06-06  2011-06-13  "LivingSocial Family Edition"  263  81  323  6335  "Pilates"
"11"  241414  2011-08-08  2011-08-15  "LivingSocial Family Edition"  110  64  374  95548  "Kids"
"12"  124764  2011-06-22  2011-06-26  "OpenTable"  1220  62  32  354188  "Life Skills Classes"
"13"  180550  2011-07-20  2011-07-22  "OpenTable"  50  50  571  91421  "Restaurants"
"14"  702257  2011-09-14  2011-09-16  "OpenTable"  50  50  561  68268  "Restaurants"
"15"  63046  2011-03-31  2011-03-31  "OpenTable"  50  50  558  38746  "Restaurants"
"16"  23393  2010-12-08  2010-12-09  "OpenTable"  50  50  540  17208  "Restaurants"
"17"  102166  2011-06-01  2011-06-02  "OpenTable"  50  50  457  57871  "Restaurants"
"18"  3338432  2012-01-21  2012-01-24  "LivingSocial Escapes"  10000  45  2  258805  "Sports Tickets"
"19"  907106  2011-10-04  2011-10-10  "LivingSocial Family Edition"  100  50  221  4810  "Life Skills Classes"
"20"  18771301  2013-03-23  2013-04-03  "LivingSocial Escapes"  332  40  54  627084  "Travel"
"21"  77282  2011-04-22  2011-04-21  "OpenTable"  50  50  425  45457  "Restaurants"
"22"  80666  2011-04-28  2011-04-29  "Yelp"  75  53  300  4811  "Outdoor Adventures"
"23"  939118  2011-10-07  2011-10-10  "Google Offers"  99  49  200  116902  "Shows"
"24"  13755883  2012-12-15  2012-12-26  "LivingSocial Escapes"  189  48  101  631893  "Travel"
"25"  177739  2011-07-19  2011-07-20  "Yelp"  130  38  121  90443  "Life Skills Classes"
"26"  11556165  2012-09-29  2012-10-08  "LivingSocial Escapes"  265  59  77  284366  "Travel"
"27"  49111  2011-03-02  2011-03-03  "OpenTable"  50  50  333  31690  "Restaurants"
"28"  123119  2011-06-20  2011-06-27  "LivingSocial Family Edition"  395  50  39  69356  "Kids"
"29"  766159  2011-09-21  2011-09-23  "OpenTable"  50  50  295  158106  "Restaurants"
"30"  93526  2011-05-18  2011-05-19  "OpenTable"  50  50  280  9881  "Restaurants"
"31"  101745  2011-05-31  2011-06-01  "Yelp"  275  45  45  4810  "Life Skills Classes"
"32"  66278  2011-04-06  2011-04-07  "OpenTable"  50  50  263  6213  "Restaurants"
"33"  1233786  2011-10-27  2011-10-26  "LivingSocial Family Edition"  130  50  95  187748  "Kids"
"34"  101180  2011-05-30  2011-06-06  "LivingSocial Family Edition"  220  64  78  57389  "Photography"
"35"  652832  2011-09-08  2011-09-09  "Google Offers"  10  50  1189  46211  "Dessert"
"36"  486637  2011-09-05  2011-09-12  "LivingSocial Family Edition"  200  75  117  6044  "Photography"
"37"  104265  2011-06-03  2011-06-03  "Yelp"  260  46  41  171594  "Outdoor Adventures"
"38"  197797  2011-07-27  2011-07-29  "OpenTable"  40  50  276  40502  "Restaurants"
"39"  114978  2011-06-13  2011-06-20  "LivingSocial Family Edition"  1195  50  9  64893  "Kids"
"40"  846927  2011-09-29  2011-10-03  "LivingSocial Family Edition"  30  50  357  21218  "Shows"
"41"  92613  2011-05-17  2011-05-18  "Yelp"  80  50  132  26757  "Outdoor Adventures"
"42"  97804  2011-05-25  2011-05-26  "OpenTable"  50  50  210  55762  "Restaurants"
"43"  441820  2011-08-31  2011-09-02  "OpenTable"  50  50  205  70991  "Restaurants"
"44"  121768  2011-06-19  2011-06-25  "LevelUp"  20  50  500  68676  "Restaurants"
"45"  163320  2011-07-14  2011-07-15  "Yelp"  50  50  199  85762  "Restaurants"
"46"  132193  2011-06-28  2011-06-29  "Yelp"  20.5  51  493  73966  "Restaurants"
"47"  124781  2011-06-22  2011-06-25  "ACTIVE GearUp"  100  50  97  70301  "Outdoor Adventures"
"48"  100886  2011-05-30  2011-06-05  "LevelUp"  80  50  121  12271  "Restaurants"
"49"  88745  2011-05-11  2011-05-12  "OpenTable"  30  50  320  199328  "Restaurants"
"50"  779913  2011-09-22  2011-09-24  "Google Offers"  30  50  315  159714  "Restaurants"
"51"  97604  2011-05-24  2011-05-26  "Yelp"  75  40  103  7034  "Outdoor Adventures"
"52"  96719  2011-05-23  2011-05-30  "LivingSocial Family Edition"  95  51  94  55215  "Kids"
"53"  105643  2011-06-06  2011-06-13  "LivingSocial Family Edition"  195  50  44  59491  "Kids"
"54"  70116  2011-04-13  2011-04-14  "OpenTable"  50  50  168  42453  "Restaurants"
"55"  663876  2011-09-09  2011-09-10  "Google Offers"  40  50  207  17390  "Restaurants"
"56"  1426382  2011-11-07  2011-11-10  "Google Offers"  75  73  201  36451  "Yoga"
"57"  1257974  2011-10-28  2011-10-30  "Google Offers"  80  50  100  4569  "Hair Salons"
"58"  895370  2011-10-03  2011-10-05  "Google Offers"  50  50  159  168200  "Restaurants"
"59"  138197  2011-07-04  2011-07-11  "LivingSocial Family Edition"  175  71  79  441780  "Kids"
"60"  267451  2011-08-15  2011-08-22  "LivingSocial Family Edition"  30  50  262  16310  "Kids"
"61"  195233  2011-07-26  2011-07-30  "Weforia"  43  53  189  35638  "Outdoor Adventures"
"62"  63091  2011-03-31  2011-04-01  "Yelp"  50  50  149  38776  "Life Skills Classes"
"63"  80192  2011-04-27  2011-04-28  "OpenTable"  50  50  141  46904  "Restaurants"
"64"  114979  2011-06-13  2011-06-20  "LivingSocial Family Edition"  28  64  347  8449  "Kids"
"65"  184282  2011-07-21  2011-07-22  "Yelp"  90  67  115  20852  "Martial Arts"
"66"  130622  2011-06-27  2011-07-04  "LivingSocial Family Edition"  500  50  13  5108  "Kids"
"67"  36025  2011-01-24  2011-01-29  "Weforia"  7  57  1048  22984  "Restaurants"
"68"  15587  2010-11-02  2010-11-06  "Weforia"  70  44  80  12875  "Dance Classes"
"69"  156096  2011-07-11  2011-07-18  "LivingSocial Family Edition"  225  51  28  83246  "Kids"
"70"  96716  2011-05-23  2011-05-30  "LivingSocial Family Edition"  52  50  118  55213  "Sports Tickets"
"71"  846896  2011-09-29  2011-10-03  "LivingSocial Family Edition"  140  57  50  165674  "Kids"
"72"  187018  2011-07-22  2011-07-26  "ACTIVE GearUp"  135  74  88  16455  "Fitness Classes"
"73"  205819  2011-07-29  2011-08-02  "ACTIVE GearUp"  40  50  149  100244  "Restaurants"
"74"  842221  2011-09-29  2011-09-30  "Google Offers"  40  50  141  5782  "Restaurants"
"75"  132747  2011-06-29  2011-06-30  "OpenTable"  32  50  173  32170  "Restaurants"
"76"  907064  2011-10-04  2011-10-10  "LivingSocial Family Edition"  32  50  173  168813  "Outdoor Adventures"
"77"  747390  2011-09-19  2011-09-26  "LivingSocial Family Edition"  60  50  92  75005  "Kids"
